800516: 6448008;6355910
800517: 7541256;7541257;7541254;7541255;7541252;7541253;7541250;7541251;7541258;7541259;7541270;7541263;7541262;7541261;7541260;7541267;7541266;7541265;7541264;7541269;7541248;7541241;7541242;7541245;7541247;7541246;6356402;6357520;6357363;6357518;6357529;6357528;6357497;6357488;6356180;6357501;6356404;6357514;6357502;6357485;6357527;6357525;6356425;6357486;6357510;6357490;6356258;6356407;6356420;6357498;6356256;6357511;6356406;6356436;6356423;6356415;6356411;6356257;6356405;6334883;6356408;6356431;6356421;6356417;6357507;6357500;6357487;6357509;6357521;6356432;6356418;6356414;6356429;6356433;6357496;6357523;6357489;6357484;6357522;6357513;6357524;6356430;6356419;6357526;6356403;6356422;6356437;6356410;6357505;6357519;6356426;7541254;7541266;7541261;7541270;7541257;7541264;7541259;7541250;7541255;7541265;7541258;7541269;7541251;7541245;7541260;7541241;7541267;7541256;7541246;7541242;7541262;7541253;7541247;7541248;7541263;7541252
800510: 6336922;6345003;6337008;6345150;6345553;6344988;6336921;6345146;6345144;6345137;6336895;6336863;6336914;6345077;6337003;6336862;6337193;6336919;6337012;6337009;6344983;6336869;6345081;6345162;6345157;6337174;6345136;6345640;6345038;6336994;6337181;6345001;6345156;6345143;6344995;6337186;6345139;6337176;6337192;6345076;6336901;6345007;6345002;6345160;6345152;6345037;6337195;6337182;6336916;6337218;6337014;6337017;6337010;6337002;6337006;6345012;6337173;6344989;6345149;6345133;6337180;6336915;6345000;6345131;6345036;6336891;6345008;6337189;6337188;6336871;6345639;6345004;6345154;6345151;6345159;6337214;6344996;6344998;6337179;6337183;6337013;6337000;6337215;6345040;6336867;6336918;6337015;6337011;6337007;6344986;6345140;6344993;6345134;6337190;6345128;6336917;6345079;6336902;6345080;6337018;6337172;6336924;6345148;6344997;6345034;6345138;6336995;6339806;6336904;6336900;6345155;6337216;6345013;6344982;6345147;6345135;6336892;6337178;6345031;6336996;6344985;6344991;6336866;6336865;6336923;6336872;6337185;6337184;6345005;6345161;6345009;6337217;6345158;6337001;6345141;6344990;6336889;6337177;6336868;6337187;6345006;6337004;6337005;6345153;6345016;6336920;6345145;6344994;6345132;6336893;6336894;6336898;6344987;6345078;6345552;6345015;6345010;6344984;6345039;6345032;6336890
800511: 6359474;6359471;6359473;6357540;6357542;6359472;6359470;6356575;6356573;6356577;6357173;6920106;6920089;6920005;6920121;6920196;6920777;6920824;6920876;6920775;6920800;6920880;6920212;6920073;6920794;6920820;6920795
800548: 7725690;7725849;7725848;7725847;7725850;7311599;6359767;6359768;6359766;6891816
800518: 6356433;6356405;6356418;6356415;6356417;6356420;6356432;6356408;6356407;6356411;6356419;6356423;6357511;6356430;6356406;6356414;6356421;6356429;6356410;6356436;6356437;6356431;6356422
800519: 7725895;7725782;7726417;7725591;7726020;7726021;7726308;7726307;7726306;7726019;7725805;7726309;7725669;7725701;7726402;7726401;7726406;7726407;7726404;7726405;7726310;7726409;7482838;7482839;7482817;7482832;7482833;7482834;7482835;7482836;7482837;7482559;7482733;7482732;7482731;7482730;7482737;7482736;7482735;7482734;7482321;7482631;7482845;7482844;7482841;7482840;7482843;7482842;7482427;7482428;7482425;7482421;7482420;7482543;7482546;7482547;7482723;7482724;7482727;7482350;7482353;7482355;7482354;7482357;7482356;7482864;7482434;7482435;7482436;7482431;7482433;7482755;7482757;7482756;7482862;7482759;7482758;7482426;7482686;7482445;7482444;7482681;7482446;7482429;7482689;7482688;7482740;7482741;7482409;7483115;7483117;7482679;7483111;7483112;7483113;7482344;7482697;7482690;7482691;7482693;7482729;7482349;7482676;7482675;7482673;7482670;7482671;7482768;7482481;7482818;7482482;7482765;7482766;7482815;7482760;7482761;7482762;7482763;7482814;7482361;7482412;7482413;7482410;7482680;7482829;7482828;7482823;7482827;7482826;7482825;7482824;6892002;6892095;6893313;6892021;6892070;6890714;6893414;6892086;6892012;6892057;6892050;6892006;6892066;6892042;6892100;6892030;6893290;6893337;6893347;6920887;6920891;6343264;6343207;6328046;6344363;6337292;6344935;6337480;6339143;6344882;6337427;6345660;6345329;6343544;6343540;6344100;6346153;6346155;6447438;6344435;6345666;6344941;6343206;6328049;6344358;6447429;6343347;6344428;6344098;6344437;6337431;6346174;6344360;6346518;6346511;6343469;6343542;6343543;6346161;6344464;6346502;6344099;6344513;6346853;6343541;6344101;6328047;6344465;6344463;6346480;6346481;6336926;6343662;6346175;6346510;6344937;6344563;6337270;6447927;6344839;6339289;6327819;6343746;6345658;6346056;6336759;6338628;6344031;6346162;6343261;6346482;6344097;6447944;6336965;6346176;6344525;6344522;6344790;6344792;6344568;6344561;6344945;6344947;6338771;6337271;6337426;6346232;6336966;6344228;6346493;6345404;6344146;6344263;6346227;6339240;6347070;6343351;6344796;6447915;6334977;6447950;6344881;6337272;6346520;6346150;6344574;6344577;6344227;6346497;6339244;6343881;6346228;6447421;6344429;6346854;6336671;6339148;6337335;6344565;6338957;6343661;6344940;6344470;6346522;6344471;6346492;6344613;6344431;6344261;6343221;6345223;6338801;6447333;6344396;6489869;6343660;6338742;6337481;6338703;6344560;6344942;6343664;6447793;6337372;6337429;6447924;6343742;6343741;6346233;6331516;6331515;6344619;6345657;6344147;6346225;6343349;6328044;6344733;6335896;6346172;6346512;6343853;6339146;6337191;6336647;6337428;6344578;6447921;6346496;6346166;6328045;6346104;6331628;6447941;6335922;6346484;6343697;6344456;6344514;6346850;6343263;6344944;6339069;6343350;6339290;6346514;6344938;6343753;6344794;6344797;6345330;6344562;6346407;6338772;6447929;6346159;6346409;6346490;6344615;6343265;6346505;6447342;6343699;6344399;6346128;6344447;6344506;6345662;6345661;6338630;6343401;6447359;6346487;6343698;6344789;6336927;6344395;6344517;6344515;6447788;6344559;6346513;6337293;6344936;6344939;6346151;6338955;6337373;6346064;6346749;6343743;6447441;6346403;6346499;6344430;6327820;6344262;6346126;6343880;6337437;6346170;6346519;6346102;6343539;6343538;6344798;6344799;6344795;6344840;6338956;6346748;6346406;6338699;6336543;6346494;6344434;6343357;6344432;6345999;6337488;6344791;6334979;6334971;6346846;6343663;6344946;6343744;6344616;6447432;6337340;6344436;6346515;6343882;6447370;6338800;6344427;6345568;6892053;6893415;6893326;6890710;6893342;6892034;6891152;6891990;6892038;6895139;6892015;6890361;6892075;6892064;6893297;6893321;6892009;7482697;7482689;7482446;7482445;7482426;7482433;7482864;7482546;7482428;7482843;7482845;7482321;7482835;7482833;7482761;7482815;7482675;7482690;7483112;7483117;7482429;7482758;7482357;7482737;7482832;7482825;7482679;7482759;7482356;7482425;7482826;7482361;7482762;7482481;7482355;7482724;7482834;7482412;7482691;7482740;7482681;7482350;7482420;7482840;7482824;7482733;7482814;7482765;7482547;7482844;7482862;7482435;7482735;7482413;7482482;7482344;7482757;7482727;7482837;7482817;7482823;7482410;7482434;7482732;7482839;7482827;7482670;7482693;7483115;7482741;7482688;7482444;7482431;7482421;7482828;7482829;7482680;7482763;7482760;7482766;7482818;7482768;7482671;7482673;7482676;7482349;7482729;7483113;7483111;7482409;7482686;7482756;7482755;7482436;7482354;7482353;7482723;7482543;7482427;7482842;7482841;7482631;7482734;7482736;7482730;7482731;7482559;7482836;7482838
800468: 7926836;7926839;7926838;7725690;7725849;7725848;7725847;7725845;7725850;7725730;7311601;7311499;7311501;7311500;7311645;7311495;7311494;7311459;7311570;7311571;7311573;7311575;7311576;7311498;7311497;7311496;7311598;7311599;7311493;7311565;7311562;7311561;7311560;7311567;7311460;7311461;6891816;6919913;6355192;6920860;6891835;6920151;6891837;6920908;6919407;6919908;6357743;6359574;6920777;6359857;6920166;6357600;6920023;6920135;6920853;6920871;6359573;6919414;6920073;6920880;6920089;6920775;6919919;6920876;6920038;6920911;6891840;6920055;6919910;6919734;6920212;6920794;6919897;6919916;6920846;6919733;6920196;6920856;6920772;6920800;6359568;6359564;6357170;6357712;6359835;6359567;6357172;6355191;6359855;6357745;6357598;6355188;6359470;6356879;6357693;6359622;6355189;6359474;6357549;6357542;6359570;6357240;6356886;6359766;6359631;6359647;6359473;6359582;6359865;6359868;6356885;6359830;6359625;6356575;6357706;6356881;6359827;6359644;6359577;6359575;6359578;6357545;6359871;6359560;6357168;6356569;6356641;6357177;6359471;6357547;6359571;6357540;6357701;6356573;6359563;6359565;6359566;6356883;6357702;6359636;6359569;6359472;6357705;6359872;6359635;6357590;6359621;6355185;6355190;6359576;6359579;6357747;6357746;6355180;6355186;6359768;6359475;6359581;6356884;6357606;6355183;6355182;6357174;6357176;6359767;6359650;6356577;6359562;6357171;6357175;6359561;6355184;6357173;6359645;6359637;6359652;6359627;6891833;6919924;6920864;6920874;6920180;6920769;6920820;6920106;6920005;6920795;6920121;6920904;6920824
800457: 7888464;6892885;6920695;6891971;6892880;6920685;6920712;6920722;6919507;6892877;6919510;6891963;6891967;6891958;6920720;6892720;6920701;6919515;6920680;6892873;6920717;6892888;6919498;6920693;6920683;6920704;6920941;6344782;6344781;6337240;6328913;6447325;6343735;6335796;6343220;6344837;6336876;6328642;6343671;6331530;6336701;6331529;6343380;6344784;6339066;6344780;6892906;6892870;6919418;6920690
800456: 7888464;7888472;7270318;7270467;7270215;6344780;6344622;6336876;6336062;6339061;6344781;6344784;6339063;6337240;6447325;6339066;6328642;6331530;6345239;6331469;6343380;6343671;6331474;6330705;6343220;6344717;6331439;6335796;6331529;6328913;6330796;6339062;6330765;6343607;6343690;6344837;6344782;6336701;6343735;6891954;6891958;6891963;6892877;6892870;6892880;6892888;6891971;6920941;6920683;6920712;6919515;6919418;6919498;6920680;6920695;6920685;6920720;6920722;6919507;6919510;6920701;6920704;6920690;6920693;6920717
800451: 7541287;7541237;7541296;6359742;6357385;6356901;6357413;6357399;6354937;6357383;6357398;6357402;6357414;6704548;6356900;6354936;7541237;7541296;7541287
