Номенклатура;Артикул;Наименование;НаименованиеПолное;БазоваяЕдиницаИзмерения;ВидНоменклатуры;ДополнительноеОписание;Актуальность;АктуальностьЦифра;Изображение;ИзображениеОборота;Количество;Формат;Дата первого прихода;Поставщик;Код цены;Отделка;Наличие текста;Количество в упаковке;Лицензия;Розничная цена;Оптовая цена;Родитель1;Родитель2;Родитель3;Родитель4;Родитель5
f569874f-a5f0-11df-b3d7-001d60809b24;45,077,08;Самой нежной(Дисней);Самой нежной(Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860005445077.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860005445077.back.jpg;45;малый двойной формат;03.08.2010;Империя поздравлений ООО;510;термография;есть;20;Sleeping Beauty (princess collection);9;4,5;Детские;Детские и молодежные;Открытки;;
f5698753-a5f0-11df-b3d7-001d60809b24;45,079,08;Самой доброй(Дисней);Самой доброй(Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860005445079.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860005445079.back.jpg;26;малый двойной формат;03.08.2010;Империя поздравлений ООО;170;термография;есть;20;Snow White (princess collection);9;4,5;Детские;Детские и молодежные;Открытки;;
f5698757-a5f0-11df-b3d7-001d60809b24;45,081,08;Самой красивой(Дисней);Самой красивой(Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860005445081.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860005445081.back.jpg;32;малый двойной формат;03.08.2010;Империя поздравлений ООО;510;термография;есть;20;Belle (princess collection);9;4,5;Детские;Детские и молодежные;Открытки;;
f569875b-a5f0-11df-b3d7-001d60809b24;45,153,00;Ростомер (мики)(Дисней);Ростомер (мики)(Дисней);шт;Плакаты;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860016045153.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860016045153.back.jpg;23;ростомер;03.08.2010;Империя поздравлений ООО;591;;;10;;58;28,5;Ростомеры;Школа и детский сад;Открытки;;
f569875f-a5f0-11df-b3d7-001d60809b24;45,199,00;В твой праздник(Дисней);В твой праздник(Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860005445199.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860005445199.back.jpg;12;малый двойной формат;03.08.2010;Империя поздравлений ООО;510;термография;есть;20;The Aristocats - Disney Animal Friends;9;4,5;С днем рождения;Детские и молодежные;Открытки;;
f5698761-a5f0-11df-b3d7-001d60809b24;45,202,00;Все для тебя(Дисней);Все для тебя(Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860005445202.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860005445202.back.jpg;9;малый двойной формат;03.08.2010;Империя поздравлений ООО;510;термография;есть;20;The Aristocats - Disney Animal Friends;9;4,5;Детские;Детские и молодежные;Открытки;;
f5698765-a5f0-11df-b3d7-001d60809b24;45,275,00;Моя неделя (расписание)(Дисней);Моя неделя (расписание)(Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860016045275.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860016045275.back.jpg;46;плакат А2;03.08.2010;Империя поздравлений ООО;591;без отделки;подсказ;10;Mickey Mouse Club House;58;28,5;Расписание;Школа и детский сад;Открытки;;
f5698769-a5f0-11df-b3d7-001d60809b24;45,316,01;С днем рождения (Дисней);С днем рождения (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860026945316.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860026945316.back.jpg;11;гигант;03.08.2010;Империя поздравлений ООО;868;термография;есть;1;Standard Characters;161;79,2;С днем рождения;Детские и молодежные;Открытки;;
f569876b-a5f0-11df-b3d7-001d60809b24;45,333,01;С днем Рождения  (Дисней);С днем Рождения  (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860026945333.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860026945333.back.jpg;5;гигант;03.08.2010;Империя поздравлений ООО;868;без отделки;есть;1;Pirates: Dead Man's Chest - Jack, Will & Elizabeth;161;79,2;С днем рождения;Детские и молодежные;Открытки;;
f5698775-a5f0-11df-b3d7-001d60809b24;45,377,01;С днем рождения  (Дисней);С днем рождения  (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345377.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860028345377.back.jpg;14;средний;03.08.2010;Империя поздравлений ООО;540;термография, конгрев;есть;10;Disney's Winnie The Pooh/Винни Пух;27;13,2;С днем рождения;Детские и молодежные;Открытки;;
f569877b-a5f0-11df-b3d7-001d60809b24;45,405,01;В день рождения  (Дисней);В день рождения  (Дисней);шт;Открытки;;больше месяца;4;ftp://sed:paranoid123@85.113.40.50/images/image/460717860030645405.jpg;ftp://sed:paranoid123@85.113.40.50/images/image/460717860030645405.back.jpg;5;стойка;03.08.2010;Империя поздравлений ООО;570;термография;есть;10;Disney's Winnie The Pooh/Винни Пух;57;27,9;С днем рождения;Детские и молодежные;Открытки;;
